"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"CHFU";"BEMA";0,00509923490043522
2016;1;"CHFU";"BEMA";NA
2017;1;"CHFU";"BEMA";-0,00751316024496809
2018;1;"CHFU";"BEMA";NA
2019;1;"CHFU";"BEMA";NA
2020;1;"CHFU";"BEMA";-0,0986761555059176
2021;1;"CHFU";"BEMA";-0,00260508630750129
2015;2;"CHFU";"BEMA";0,00509923490043522
2016;2;"CHFU";"BEMA";NA
2017;2;"CHFU";"BEMA";NA
2018;2;"CHFU";"BEMA";NA
2019;2;"CHFU";"BEMA";NA
2020;2;"CHFU";"BEMA";-0,0986761555059176
2021;2;"CHFU";"BEMA";-0,00260508630750129
2015;3;"CHFU";"BEMA";0,00509923490043522
2016;3;"CHFU";"BEMA";NA
2017;3;"CHFU";"BEMA";NA
2018;3;"CHFU";"BEMA";NA
2019;3;"CHFU";"BEMA";NA
2020;3;"CHFU";"BEMA";-0,0986761555059176
2021;3;"CHFU";"BEMA";NA
2015;4;"CHFU";"BEMA";0,00509923490043522
2016;4;"CHFU";"BEMA";NA
2017;4;"CHFU";"BEMA";NA
2018;4;"CHFU";"BEMA";NA
2019;4;"CHFU";"BEMA";-0,0429093616005999
2020;4;"CHFU";"BEMA";-0,0986761555059176
2021;4;"CHFU";"BEMA";-0,00260508630750129
2015;5;"CHFU";"BEMA";0,00509923490043522
2016;5;"CHFU";"BEMA";NA
2017;5;"CHFU";"BEMA";NA
2018;5;"CHFU";"BEMA";NA
2019;5;"CHFU";"BEMA";NA
2020;5;"CHFU";"BEMA";-0,0986761555059176
2021;5;"CHFU";"BEMA";-0,00260508630750129
2015;6;"CHFU";"BEMA";NA
2016;6;"CHFU";"BEMA";NA
2017;6;"CHFU";"BEMA";NA
2018;6;"CHFU";"BEMA";NA
2019;6;"CHFU";"BEMA";NA
2020;6;"CHFU";"BEMA";NA
2021;6;"CHFU";"BEMA";-0,00260508630750129
2015;7;"CHFU";"BEMA";NA
2016;7;"CHFU";"BEMA";NA
2017;7;"CHFU";"BEMA";NA
